时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2025-12-4 16:24:00,深圳,18,阴,东南风1级,19,74%,3,135,0.0,1016,18,4,
2025-12-4 17:10:00,深圳,18,阴,东北风1级,18,76%,4,45,0.0,1016,20,3,
2025-12-4 18:24:00,深圳,18,阴,东南风2级,18,76%,6,135,0.0,1015,20,1,
2025-12-4 19:08:00,深圳,18,阴,东北风1级,19,76%,3,45,0.0,1015,19,1,
2025-12-4 20:17:00,深圳,18,多云,东北风2级,18,76%,7,45,0.0,1015,18,0,
2025-12-4 21:16:00,深圳,17,晴,北风1级,17,80%,4,0,0.0,1014,17,0,
2025-12-4 22:08:00,深圳,16,晴,东北风1级,16,83%,4,45,0.0,1015,15,0,
2025-12-4 23:10:00,深圳,16,晴,北风2级,16,86%,6,0,0.0,1015,13,0,
2025-12-5 01:32:00,深圳,20,晴,东风2级,20,69%,8,90,0.0,1016,12,0,
2025-12-5 03:16:00,深圳,22,晴,东风1级,23,60%,4,90,0.0,1015,16,1,
2025-12-5 04:24:00,深圳,23,晴,东北风2级,23,57%,9,45,0.0,1014,15,1,
2025-12-5 05:09:00,深圳,23,晴,西北风1级,24,56%,3,315,0.0,1013,15,1,
2025-12-5 06:24:00,深圳,24,晴,南风1级,25,54%,5,180,0.0,1012,16,1,
2025-12-5 07:17:00,深圳,24,晴,西风2级,24,52%,6,270,0.0,1011,17,1,
2025-12-5 08:16:00,深圳,22,晴,西南风2级,22,61%,9,225,0.0,1011,12,1,
2025-12-5 09:16:00,深圳,20,晴,南风2级,20,70%,7,180,0.0,1011,9,1,
2025-12-5 10:16:00,深圳,19,雾,西南风2级,19,76%,6,225,0.0,1012,8,1,
2025-12-5 11:10:00,深圳,19,晴,南风1级,19,72%,5,180,0.0,1012,15,4,
