时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2025-12-13 16:16:00,大连,-4,多云,北风3级,-10,57%,18,0,0.0,1013,27,2,
2025-12-13 17:08:00,大连,-4,多云,北风4级,-10,59%,22,0,0.0,1013,22,3,💨 北风警报：北风 4级
2025-12-13 18:16:00,大连,-4,多云,北风3级,-8,58%,12,0,0.0,1013,21,4,
2025-12-13 19:09:00,大连,-4,多云,北风2级,-8,59%,8,0,0.0,1013,22,4,
2025-12-13 20:16:00,大连,-4,多云,北风2级,-8,60%,8,0,0.0,1012,23,10,
2025-12-13 21:09:00,大连,-4,多云,北风2级,-8,61%,7,0,0.0,1012,21,10,
2025-12-13 22:08:00,大连,-2,多云,北风2级,-6,60%,10,0,0.0,1012,25,10,
2025-12-13 23:10:00,大连,-2,多云,北风2级,-6,58%,9,0,0.0,1012,30,91,
2025-12-14 01:40:00,大连,-1,多云,北风2级,-5,47%,8,0,0.0,1013,30,91,
2025-12-14 03:32:00,大连,0,多云,西北风2级,-3,48%,7,315,0.0,1012,30,10,
2025-12-14 04:32:00,大连,1,多云,北风1级,-1,49%,2,0,0.0,1012,30,10,
2025-12-14 05:16:00,大连,2,多云,西北风2级,-1,52%,6,315,0.0,1011,28,10,
2025-12-14 06:24:00,大连,3,多云,西北风3级,-1,46%,12,315,0.0,1010,30,10,
2025-12-14 07:06:00,大连,3,多云,西风3级,-1,45%,13,270,0.0,1010,30,10,
2025-12-14 08:16:00,大连,2,多云,西风2级,-2,46%,10,270,0.0,1010,28,10,
