时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2025-12-14 16:17:00,西安,2,晴,西北风1级,-1,44%,5,315,0.0,975,16,4,
2025-12-14 17:08:00,西安,1,多云,北风2级,-2,59%,6,0,0.0,974,16,10,
2025-12-14 18:22:00,西安,0,晴,北风1级,-3,62%,5,0,0.0,974,16,10,
2025-12-14 19:10:00,西安,0,晴,北风1级,-3,66%,5,0,0.0,974,16,10,
2025-12-14 20:18:00,西安,0,多云,北风0级,-2,65%,0,0,0.0,974,16,10,
2025-12-14 21:10:00,西安,0,晴,南风1级,-2,80%,4,180,0.0,974,16,10,
2025-12-14 22:08:00,西安,0,晴,南风1级,-2,81%,4,180,0.0,973,16,10,
2025-12-14 23:08:00,西安,1,晴,北风2级,-2,66%,9,0,0.0,974,16,10,
2025-12-15 01:39:00,西安,2,晴,西北风2级,-1,62%,6,315,0.0,975,16,10,
2025-12-15 02:52:00,西安,4,晴,西北风2级,1,42%,8,315,0.0,975,16,10,
2025-12-15 04:28:00,西安,7,晴,西南风2级,4,29%,9,225,0.0,973,16,5,
2025-12-15 05:13:00,西安,8,晴,南风2级,5,26%,8,180,0.0,972,16,3,
2025-12-15 06:22:00,西安,10,晴,西风2级,7,24%,8,270,0.0,971,16,1,
2025-12-15 07:15:00,西安,11,晴,西南风2级,8,20%,8,225,0.0,971,16,1,
2025-12-15 08:23:00,西安,10,晴,南风2级,7,24%,6,180,0.0,970,16,0,
2025-12-15 09:23:00,西安,9,晴,东北风2级,6,28%,7,45,0.0,970,16,0,
