时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2025-12-22 16:16:00,厦门,15,多云,东北风5级,10,66%,30,45,0.0,1004,30,10,💨 北风警报：东北风 5级
2025-12-22 17:08:00,厦门,15,多云,北风3级,13,69%,13,0,0.0,1004,30,10,
2025-12-22 18:24:00,厦门,15,阴,北风3级,12,70%,18,0,0.0,1004,30,10,
2025-12-22 19:10:00,厦门,15,多云,北风3级,12,70%,17,0,0.0,1003,30,10,
2025-12-22 20:14:00,厦门,15,多云,北风3级,13,71%,14,0,0.0,1003,30,10,
2025-12-22 21:16:00,厦门,15,多云,北风3级,13,73%,13,0,0.0,1002,30,10,
2025-12-22 22:08:00,厦门,14,晴,北风2级,13,74%,9,0,0.0,1003,30,10,
2025-12-22 23:17:00,厦门,15,多云,北风3级,12,76%,17,0,0.0,1003,26,91,
2025-12-23 01:32:00,厦门,18,阴,北风2级,17,65%,9,0,0.0,1004,21,91,
2025-12-23 03:17:00,厦门,20,多云,东北风3级,18,64%,16,45,0.0,1003,21,10,
2025-12-23 04:32:00,厦门,21,多云,西南风2级,21,61%,9,225,0.0,1002,25,10,
2025-12-23 05:16:00,厦门,21,多云,西风2级,21,62%,8,270,0.0,1001,23,10,
2025-12-23 06:24:00,厦门,22,晴,西风3级,21,60%,12,270,0.0,1000,30,0,
2025-12-23 07:16:00,厦门,22,晴,西北风2级,22,58%,9,315,0.0,999,21,0,
2025-12-23 08:25:00,厦门,20,晴,南风2级,20,71%,10,180,0.0,999,24,0,
2025-12-23 09:16:00,厦门,19,多云,南风2级,19,74%,7,180,0.0,1000,21,0,
