时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-1-5 16:24:00,青岛,1,多云,西北风2级,-2,60%,8,315,0.0,1020,19,10,
2026-1-5 17:10:00,青岛,1,多云,西北风2级,-2,70%,9,315,0.0,1019,10,10,
2026-1-5 18:25:00,青岛,0,多云,北风1级,-3,70%,5,0,0.0,1019,12,10,
2026-1-5 19:08:00,青岛,0,多云,北风1级,-3,71%,5,0,0.0,1018,12,10,
2026-1-5 20:16:00,青岛,0,多云,北风0级,-2,70%,1,0,0.0,1017,12,10,
2026-1-5 21:16:00,青岛,0,多云,西风0级,-2,69%,1,270,0.0,1017,13,10,
2026-1-5 22:16:00,青岛,0,阴,南风2级,-3,67%,7,180,0.0,1017,12,10,
2026-1-5 23:16:00,青岛,1,阴,南风2级,-2,59%,8,180,0.0,1016,15,10,
2026-1-6 01:40:00,青岛,3,阴,西南风3级,-2,53%,16,225,0.0,1016,11,100,
2026-1-6 03:32:00,青岛,5,阴,西南风3级,0,53%,19,225,0.0,1016,6,100,
2026-1-6 04:32:00,青岛,5,阴,西南风3级,0,59%,18,225,0.0,1014,3,100,
2026-1-6 05:16:00,青岛,5,霾,西南风3级,1,59%,16,225,0.0,1013,2,100,
2026-1-6 06:24:00,青岛,6,霾,北风3级,2,57%,13,0,0.0,1013,3,100,
2026-1-6 07:16:00,青岛,4,霾,西北风2级,1,58%,10,315,0.0,1013,3,91,
