时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-1-31 16:24:00,北京,-1,晴,西南风2级,-4,62%,7,245,0.0,1024,3,0,
2026-1-31 17:16:00,北京,-2,雾,西风1级,-5,69%,2,271,0.0,1024,3,0,
2026-1-31 18:24:00,北京,-4,晴,南风1级,-7,75%,4,160,0.0,1023,2,0,
2026-1-31 19:16:00,北京,-5,晴,北风0级,-7,81%,1,18,0.0,1023,2,0,
2026-1-31 20:16:00,北京,-5,晴,东北风1级,-9,75%,4,31,0.0,1023,3,0,
2026-1-31 21:17:00,北京,-5,晴,东北风2级,-9,58%,6,24,0.0,1023,8,0,
2026-1-31 22:16:00,北京,-5,晴,东北风2级,-9,55%,11,37,0.0,1023,9,2,
2026-1-31 23:16:00,北京,-5,晴,东北风1级,-9,56%,5,46,0.0,1023,10,3,
2026-2-1 02:24:00,北京,3,晴,北风2级,-2,27%,8,354,0.0,1024,23,10,
2026-2-1 04:58:00,北京,7,晴,西风2级,1,19%,10,259,0.0,1023,30,10,
2026-2-1 06:40:00,北京,8,多云,西风2级,5,16%,11,273,0.0,1020,18,2,
2026-2-1 07:32:00,北京,8,多云,西风3级,3,16%,14,277,0.0,1020,16,10,
2026-2-1 08:24:00,北京,8,阴,西风3级,3,16%,16,266,0.0,1021,24,10,
