时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-2-19 16:48:00,广州,16,阴,北风0级,19,80%,1,7,0.0,1014,30,10,
2026-2-19 17:48:00,广州,16,阴,南风1级,15,77%,4,164,0.0,1014,30,10,🟧 橙色降温提示：1小时降温4℃
2026-2-19 18:50:00,广州,16,阴,东南风1级,16,77%,5,121,0.0,1014,30,10,
2026-2-19 19:34:00,广州,16,阴,南风1级,16,78%,5,182,0.0,1013,30,10,
2026-2-19 20:26:00,广州,16,多云,北风0级,16,80%,1,353,0.0,1012,30,10,
2026-2-19 21:26:00,广州,16,多云,东南风1级,16,78%,2,121,0.0,1012,30,2,
2026-2-19 22:26:00,广州,15,阴,东南风1级,17,68%,3,120,0.0,1012,30,2,
2026-2-19 23:26:00,广州,15,多云,北风0级,13,69%,1,338,0.0,1013,30,3,🟧 橙色降温提示：1小时降温4℃
2026-2-20 02:02:00,广州,18,多云,东风1级,18,59%,2,96,0.0,1013,30,3,
2026-2-20 04:40:00,广州,23,晴,东风1级,20,50%,5,74,0.0,1012,30,10,
2026-2-20 05:49:00,广州,24,晴,东北风2级,22,48%,6,57,0.0,1010,30,10,
2026-2-20 06:48:00,广州,25,晴,东北风1级,24,46%,5,62,0.0,1009,30,10,
2026-2-20 07:48:00,广州,26,晴,西南风2级,25,44%,6,233,0.0,1008,30,10,
2026-2-20 08:34:00,广州,25,晴,东风1级,23,46%,5,82,0.0,1007,30,10,
2026-2-20 09:34:00,广州,24,晴,东北风1级,23,47%,5,61,0.0,1007,30,10,
2026-2-20 10:34:00,广州,22,晴,北风0级,22,58%,1,351,0.0,1007,30,10,
