时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-3-8 16:24:00,哈尔滨,-8,晴,北风2级,-10,57%,8,1,0.0,1015,17,10,
2026-3-8 17:16:00,哈尔滨,-8,晴,西风2级,-14,54%,8,259,0.0,1015,23,10,🟧 橙色降温提示：1小时降温4℃
2026-3-8 18:24:00,哈尔滨,-8,晴,北风3级,-14,52%,19,21,0.0,1015,28,10,
2026-3-8 19:16:00,哈尔滨,-9,晴,北风3级,-16,55%,19,4,0.0,1015,27,10,❄️ 橙色寒冷提示：体感低至 -16℃
2026-3-8 20:17:00,哈尔滨,-9,晴,北风3级,-16,56%,13,7,0.0,1016,29,7,❄️ 橙色寒冷提示：体感低至 -16℃
2026-3-8 21:16:00,哈尔滨,-10,晴,西风2级,-16,58%,8,251,0.0,1016,29,7,❄️ 橙色寒冷提示：体感低至 -16℃
2026-3-8 22:16:00,哈尔滨,-9,晴,西风2级,-13,69%,9,258,0.0,1017,17,0,
2026-3-8 23:16:00,哈尔滨,-12,晴,西北风2级,-17,69%,8,298,0.0,1017,15,0,❄️ 橙色寒冷提示：体感低至 -17℃;🟧 橙色降温提示：1小时降温4℃
2026-3-9 02:00:00,哈尔滨,-4,晴,西北风2级,-9,40%,9,298,0.0,1017,27,10,
2026-3-9 04:49:00,哈尔滨,1,晴,西风3级,-6,34%,15,288,0.0,1016,30,10,
2026-3-9 05:48:00,哈尔滨,2,晴,西风2级,-5,34%,10,263,0.0,1015,30,10,
2026-3-9 07:00:00,哈尔滨,2,晴,北风3级,-5,34%,17,14,0.0,1015,30,0,
2026-3-9 08:40:00,哈尔滨,1,晴,北风2级,-5,32%,8,11,0.0,1014,30,0,
2026-3-9 09:48:00,哈尔滨,0,晴,西风2级,-5,40%,7,249,0.0,1014,30,0,
2026-3-9 10:40:00,哈尔滨,-2,晴,西北风1级,-5,45%,4,320,0.0,1014,15,10,
2026-3-9 11:24:00,哈尔滨,-4,晴,西南风1级,-7,49%,5,215,0.0,1013,10,91,
