时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-4-10 16:50:00,南京,18,雾,东南风2级,17,90%,7,151,0.0,1008,3,99,
2026-4-10 17:42:00,南京,17,雾,东风2级,15,91%,10,93,0.0,1008,3,100,
2026-4-10 18:48:00,南京,17,雾,东风2级,18,91%,9,92,0.0,1007,3,100,
2026-4-10 19:40:00,南京,17,雾,东风2级,16,94%,6,73,0.0,1007,2,100,
2026-4-10 20:34:00,南京,17,雾,东风2级,16,96%,8,77,0.0,1007,2,100,
2026-4-10 21:32:00,南京,16,雾,东风2级,15,99%,7,101,0.0,1007,2,100,
2026-4-10 22:34:00,南京,16,雾,东风2级,14,100%,8,84,0.0,1007,2,100,
2026-4-10 23:27:00,南京,16,雾,东南风3级,13,100%,13,140,0.0,1007,2,100,
2026-4-11 02:10:00,南京,18,雾,东南风3级,15,74%,15,130,0.0,1008,5,100,
2026-4-11 04:50:00,南京,19,小雨,东风3级,15,66%,12,107,0.0,1006,6,100,
2026-4-11 05:56:00,南京,19,小雨,东南风3级,15,66%,18,147,0.0,1006,5,100,
2026-4-11 07:41:00,南京,17,小雨,东风2级,14,75%,11,105,0.0,1006,6,100,
2026-4-11 08:34:00,南京,17,小雨,东南风2级,14,74%,8,119,0.0,1006,6,100,
2026-4-11 09:33:00,南京,16,小雨,东南风4级,10,72%,24,134,0.0,1006,10,100,🟧 橙色降温提示：1小时降温4℃
2026-4-11 10:26:00,南京,16,小雨,东南风3级,12,84%,16,151,0.0,1007,6,99,
2026-4-11 11:11:00,南京,15,雾,东南风3级,11,85%,16,112,0.0,1007,11,100,
2026-4-11 12:48:00,南京,14,阴,东南风3级,11,100%,14,124,0.1,1008,4,100,
