时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-4-10 16:48:00,沈阳,10,多云,西南风2级,4,37%,11,235,0.0,1001,30,0,
2026-4-10 17:40:00,沈阳,9,晴,西风3级,6,25%,15,285,0.0,1002,30,0,
2026-4-10 18:48:00,沈阳,8,晴,西风3级,2,29%,14,288,0.0,1002,30,0,🟧 橙色降温提示：1小时降温4℃
2026-4-10 19:40:00,沈阳,5,晴,西北风1级,1,43%,5,321,0.0,1003,30,0,
2026-4-10 20:32:00,沈阳,3,晴,西南风1级,-1,45%,4,224,0.0,1004,30,0,
2026-4-10 21:32:00,沈阳,3,晴,西南风1级,-1,51%,2,217,0.0,1005,30,0,
2026-4-10 22:34:00,沈阳,2,多云,西南风1级,-1,37%,4,245,0.0,1005,30,0,
2026-4-10 23:26:00,沈阳,8,晴,西北风2级,2,25%,6,306,0.0,1006,30,0,
2026-4-11 02:10:00,沈阳,11,晴,西北风4级,3,16%,26,316,0.0,1007,30,0,💨 北风警报：西北风 4级
2026-4-11 04:48:00,沈阳,13,晴,西北风3级,8,16%,17,318,0.0,1007,30,0,
2026-4-11 05:56:00,沈阳,14,晴,西风2级,10,14%,6,291,0.0,1007,30,0,
2026-4-11 07:40:00,沈阳,14,晴,西北风3级,7,13%,17,336,0.0,1007,30,1,🟧 橙色降温提示：1小时降温3℃
2026-4-11 08:32:00,沈阳,15,晴,北风1级,13,14%,2,21,0.0,1007,30,2,
2026-4-11 09:33:00,沈阳,14,晴,北风2级,11,14%,10,349,0.0,1006,30,3,
2026-4-11 10:26:00,沈阳,11,晴,东风1级,9,22%,5,100,0.0,1007,30,2,
