时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-8-6 23:50:00,上海,30,多云,西风2级,33,75%,9,270,0.0,1002,20,10,
2026-8-7 03:00:00,上海,32,多云,东北风3级,34,61%,14,45,0.0,1002,28,91,
2026-8-7 05:36:00,上海,34,多云,东风3级,36,59%,16,90,0.0,1002,29,91,
2026-8-7 07:00:00,上海,34,晴,东风3级,35,54%,18,90,0.0,1001,26,91,
2026-8-7 08:50:00,上海,33,晴,东北风3级,35,57%,15,45,0.0,1001,28,91,
2026-8-7 09:56:00,上海,32,多云,东南风3级,33,60%,18,135,0.0,1000,30,91,
2026-8-7 11:36:00,上海,31,多云,东北风2级,34,66%,9,45,0.0,1000,24,91,
2026-8-7 12:58:00,上海,31,阴,东北风4级,32,69%,22,45,0.0,1001,26,96,💨 北风警报：东北风 4级
2026-8-7 14:42:00,上海,30,阴,东北风3级,32,70%,16,45,0.0,1002,24,91,
2026-8-7 15:50:00,上海,30,阴,东北风3级,32,70%,13,45,0.0,1002,25,91,
