时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-8-11 15:48:00,杭州,26,多云,东风3级,28,93%,13,90,0.0,995,17,91,
2026-8-11 17:50:00,杭州,26,多云,东风3级,28,91%,12,90,0.0,994,18,91,
2026-8-11 18:56:00,杭州,25,多云,东北风1级,28,95%,5,45,0.0,994,15,92,
2026-8-11 20:36:00,杭州,26,雾,西北风2级,29,95%,9,315,0.0,994,10,91,
2026-8-11 21:36:00,杭州,26,小雨,西风2级,29,95%,8,270,0.0,994,6,91,
2026-8-11 22:36:00,杭州,26,雾,西北风2级,29,96%,8,315,0.0,994,9,91,
2026-8-11 23:30:00,杭州,26,多云,南风1级,30,94%,5,180,0.0,994,11,91,
2026-8-12 01:49:00,杭州,30,多云,南风3级,32,75%,15,180,0.0,994,22,91,
2026-8-12 04:01:00,杭州,32,多云,西风2级,35,66%,9,270,0.0,994,26,91,
2026-8-12 06:00:00,杭州,34,多云,东南风2级,37,55%,11,135,0.0,993,30,91,
2026-8-12 08:02:00,杭州,35,阴,北风3级,37,52%,16,0,0.0,992,29,91,
2026-8-12 09:58:00,杭州,30,大雨,东风4级,30,71%,25,90,0.0,992,10,91,📉 红色降温预警：1小时骤降7℃
2026-8-12 11:38:00,杭州,29,雾,东风3级,31,82%,14,90,0.0,993,9,91,
2026-8-12 13:02:00,杭州,29,雾,东风3级,31,85%,19,90,0.0,994,7,91,
2026-8-12 14:50:00,杭州,25,小雨,西北风4级,26,96%,20,315,12.0,995,19,91,📉 红色降温预警：1小时骤降5℃;💨 北风警报：西北风 4级
2026-8-12 15:50:00,杭州,25,阴,西北风2级,28,96%,7,315,13.0,995,23,100,
