时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-8-19 16:12:00,漳浦,26,阴,西南风2级,29,96%,8,225,0.0,1001,12,95,
2026-8-19 17:14:00,漳浦,26,阴,西北风1级,30,96%,5,315,0.0,1001,11,93,
2026-8-19 18:30:00,漳浦,26,小雨,东风2级,30,95%,6,90,0.0,1000,10,91,
2026-8-19 19:10:00,漳浦,26,小雨,西北风1级,30,95%,3,315,0.0,1000,11,81,
2026-8-19 20:11:00,漳浦,26,阴,西南风2级,30,97%,7,225,0.0,1000,7,91,
2026-8-19 21:10:00,漳浦,26,阴,西风2级,30,97%,7,270,0.0,1001,11,60,
2026-8-19 22:12:00,漳浦,26,阴,西南风2级,29,96%,10,225,0.0,1001,15,91,
2026-8-19 23:10:00,漳浦,26,阴,西风1级,30,96%,4,270,0.0,1001,10,91,
2026-8-20 01:02:00,漳浦,26,阵雨,东南风4级,27,95%,23,135,0.0,1001,30,91,🟧 橙色降温提示：1小时降温3℃
2026-8-20 02:50:00,漳浦,30,阴,东北风2级,33,78%,9,45,0.0,1001,30,91,
2026-8-20 03:44:00,漳浦,29,阴,东南风3级,30,74%,16,135,0.0,1001,30,91,🟧 橙色降温提示：1小时降温3℃
2026-8-20 04:30:00,漳浦,30,阴,东南风4级,31,74%,21,135,0.0,1001,30,91,
