时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-8-20 16:30:00,宁波,27,小雨,西南风2级,31,95%,8,225,0.0,1006,19,96,
2026-8-20 17:22:00,宁波,27,多云,东南风1级,31,96%,5,135,0.0,1005,15,93,
2026-8-20 18:30:00,宁波,26,大雨,西风2级,29,97%,9,270,0.0,1005,9,91,
2026-8-20 19:24:00,宁波,26,小雨,北风2级,30,97%,6,0,5.0,1005,9,91,
2026-8-20 20:24:00,宁波,26,雾,西北风1级,30,97%,5,315,0.0,1005,11,91,
2026-8-20 21:22:00,宁波,26,多云,东南风2级,30,96%,7,135,0.0,1004,24,91,
2026-8-20 22:22:00,宁波,26,多云,东风2级,29,95%,8,90,0.0,1005,22,10,
2026-8-20 23:12:00,宁波,27,多云,东风2级,30,94%,10,90,0.0,1005,17,10,
2026-8-21 01:02:00,宁波,30,多云,东风3级,33,82%,16,90,0.0,1005,23,91,
2026-8-21 02:58:00,宁波,29,多云,东北风4级,29,81%,25,45,0.0,1005,16,91,🟧 橙色降温提示：1小时降温4℃;💨 北风警报：东北风 4级
2026-8-21 04:15:00,宁波,29,阴,东风3级,32,79%,14,90,0.0,1004,22,91,
2026-8-21 05:15:00,宁波,28,中雨,东风3级,28,90%,19,90,0.0,1003,18,91,🟧 橙色降温提示：1小时降温4℃
2026-8-21 06:25:00,宁波,30,阴,北风3级,34,80%,16,0,2.5,1003,29,91,
2026-8-21 07:25:00,宁波,30,阴,东风3级,33,81%,14,90,2.5,1002,30,91,
2026-8-21 08:15:00,宁波,28,中雨,东风2级,28,91%,11,90,0.0,1002,19,91,📉 红色降温预警：1小时骤降5℃
2026-8-21 09:15:00,宁波,28,阴,东风3级,30,86%,13,90,0.0,1002,30,91,
2026-8-21 10:15:00,宁波,28,阴,东南风2级,30,88%,9,135,0.0,1002,24,91,
